Date,Link,Pub,Title,Icon,Format,Featured?
04/23/14,http://e-pluribusunum.com/2014/04/23/code-for-dc-launches-ourdcschools-org-an-open-government-platform-for-proposed-school-policy,E Pluribus Unum,"Code for DC launches OurDCSchools.org, an open government platform for proposed school policy",/images/press/icons/eplur.png,text,
04/23/14,http://nextcity.org/daily/entry/dcs-new-two-way-tool-for-crafting-its-school-assignment-rules,Next City,The Districtâ€™s New Two-Way Tool for Crafting Its School Assignment Rules,/images/press/icons/nextcity.png,text,
04/22/14,http://wamu.org/news/14/04/22/confused_about_proposed_dc_school_boundary_changes_theres_an_app_for_that,WAMU,Confused About D.C. School Boundary Changes? There's An App For That,/images/press/icons/wamu.png,text,
04/22/14,http://greatergreatereducation.org/post/22590/curious-about-how-the-proposed-boundary-changes-will-affect-you-check-out-this-new-app,Greater Greater Washington,Curious about how the proposed boundary changes will affect you? Check out this new app.,/images/press/icons/greater-greater-washington.png,text,
04/16/14,http://watchdogwire.com/blog/2014/03/21/dc-open-government-coalition-pushes-for-transparency-at-the-local-level/,Watch Dog Wire,DC Open Government Coalition pushes for transparency at the local level,images/press/icons/watchdogwire.jpg,text,
02/19/14,http://greatergreatereducation.org/post/21748/how-can-education-data-help-you/,Greater Greater Washington,How can education data help you?,images/press/icons/greater-greater-washington.png,text,
01/23/14,http://fedscoop.com/data-vault-special-addition-data-innovation-day/,FedScoop,Data Vault special edition: Data Innovation Day,images/press/icons/fedscoop.jpg,audio,
10/16/13,http://www.mcsweeneys.net/articles/leah-bannon,McSweeney's,Voices from the Shutdown - Leah Bannon,images/press/icons/mcsweeneys.png,text,
10/14/13,http://fedscoop.com/code-dc-calls-furloughed-feds/,FedScoop,"With no work to do, furloughed feds flock to hackathon",images/press/icons/fedscoop.jpg,text,
10/10/13,http://dataqualitycampaign.org/2013/10/data-access-a-new-era-of-parent-and-community-engagement,Data Quality Campaign,Data Access: A New Era of Parent and Community Engagement,images/press/icons/data-quality-campaign.jpg,text,
09/27/13,http://greatergreatereducation.org/post/20302/choosing-a-school-just-got-easier/,Greater Greater Washington,Choosing a School Just Got Easier,images/press/icons/greater-greater-washington.png,text,
09/25/13,http://susiecambria.blogspot.com/2013/09/new-app-for-parents-helps-with.html,Susie's Budget and Policy Corner,New app for parents helps with selecting a school for their child,,text,
06/02/13,http://www.wjla.com/articles/2013/06/national-day-of-civic-hacking-volunteer-experts-federal-agencies-team-up-to-find-technology-solution.html,WJLA ABC 7,"National Day of Civic Hacking: Volunteer experts, federal agencies team up to find technology solutions",images/press/icons/abc.jpg,video,
03/15/13,http://www.theatlanticcities.com/neighborhoods/2013/03/there-link-between-walkability-and-local-school-performance/4992/,The Atlantic Cities,Is there a link between walkability and local school performance?,images/press/icons/atlantic-cities.jpg,text,
03/13/13,http://greatergreaterwashington.org/post/18052/how-school-tiers-match-up-with-walk-score/,Greater Greater Washington,How school tiers match up with Walk Score,images/press/icons/greater-greater-washington.png,text,
03/12/13,http://greatergreatereducation.org/post/17992/community-of-civic-hackers-for-education-takes-shape/,Greater Greater Washington,Community of civic hackers for education takes shape,images/press/icons/greater-greater-washington.png,text,
03/08/13,http://greatergreaterwashington.org/post/17987/visualize-the-dc-budget/,Greater Greater Washington,Visualize the DC Budget,images/press/icons/greater-greater-washington.png,text,
03/07/13,http://www.youtube.com/watch?v=Jm2QxXNLSaQ,The World Bank,International Open Data Day in Washington DC,images/press/icons/world-bank.jpg,video,
03/07/13,http://blogs.worldbank.org/opendata/open-data-community-hacks-dc-and-global-issues,The World Bank,Open Data community hacks D.C. and global issues,images/press/icons/world-bank.jpg,text,
03/05/13,http://dcist.com/2013/03/open_data.php,DCist,Hack D.C.: Hackers Put Open Data to Use to Help Improve Local Government,images/press/icons/dcist.png,text,
03/04/13,http://greatergreatereducation.org/post/17870/open-data-can-help-families-with-confusing-school-choices/,Greater Greater Washington,Open data can help families with confusing school choices,images/press/icons/greater-greater-washington.png,text,
